"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"138",0.713,0.831,1,-4.75,0,0.15,0.0168,0,0.118,0.584,173.948,"audio_features","1BuZAIO8WZpavWVbbq3Lci","spotify:track:1BuZAIO8WZpavWVbbq3Lci","https://api.spotify.com/v1/tracks/1BuZAIO8WZpavWVbbq3Lci","https://api.spotify.com/v1/audio-analysis/1BuZAIO8WZpavWVbbq3Lci",332301,4,"pop"
"139",0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.101,0.111,149.004,"audio_features","6fwdbPMwP1zVStm8FybmkO","spotify:track:6fwdbPMwP1zVStm8FybmkO","https://api.spotify.com/v1/tracks/6fwdbPMwP1zVStm8FybmkO","https://api.spotify.com/v1/audio-analysis/6fwdbPMwP1zVStm8FybmkO",258880,4,"pop"
"140",0.746,0.825,1,-4.666,1,0.169,0.0142,0.0107,0.121,0.584,152.914,"audio_features","5ubwXXOsH9bUhZsQ0Cybha","spotify:track:5ubwXXOsH9bUhZsQ0Cybha","https://api.spotify.com/v1/tracks/5ubwXXOsH9bUhZsQ0Cybha","https://api.spotify.com/v1/audio-analysis/5ubwXXOsH9bUhZsQ0Cybha",204150,4,"pop"
"141",0.755,0.682,0,-4.799,1,0.0339,0.0265,0,0.189,0.498,122.049,"audio_features","5GNjiM8jZCgbqjHklAcT9e","spotify:track:5GNjiM8jZCgbqjHklAcT9e","https://api.spotify.com/v1/tracks/5GNjiM8jZCgbqjHklAcT9e","https://api.spotify.com/v1/audio-analysis/5GNjiM8jZCgbqjHklAcT9e",219040,4,"pop"
"142",0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,"audio_features","1P17dC1amhFzptugyAO7Il","spotify:track:1P17dC1amhFzptugyAO7Il","https://api.spotify.com/v1/tracks/1P17dC1amhFzptugyAO7Il","https://api.spotify.com/v1/audio-analysis/1P17dC1amhFzptugyAO7Il",211853,4,"pop"
"143",0.657,0.913,11,-4.984,1,0.0528,0.00392,0.00149,0.466,0.906,108.036,"audio_features","5WSdMcWTKRdN1QYVJHJWxz","spotify:track:5WSdMcWTKRdN1QYVJHJWxz","https://api.spotify.com/v1/tracks/5WSdMcWTKRdN1QYVJHJWxz","https://api.spotify.com/v1/audio-analysis/5WSdMcWTKRdN1QYVJHJWxz",254620,4,"pop"
"144",0.617,0.759,0,-6.785,0,0.0677,0.0026,0,0.42,0.324,122.925,"audio_features","3Bjr9MzHM7KHk6zq7KvJRN","spotify:track:3Bjr9MzHM7KHk6zq7KvJRN","https://api.spotify.com/v1/tracks/3Bjr9MzHM7KHk6zq7KvJRN","https://api.spotify.com/v1/audio-analysis/3Bjr9MzHM7KHk6zq7KvJRN",218747,4,"pop"
"145",0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,"audio_features","10Igtw8bSDyyFs7KIsKngZ","spotify:track:10Igtw8bSDyyFs7KIsKngZ","https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ","https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ",216632,4,"pop"
"146",0.709,0.779,7,-3.534,0,0.0464,0.0777,7.47e-06,0.306,0.701,102.024,"audio_features","1NXDq5UBby80GsRNjGXVwE","spotify:track:1NXDq5UBby80GsRNjGXVwE","https://api.spotify.com/v1/tracks/1NXDq5UBby80GsRNjGXVwE","https://api.spotify.com/v1/audio-analysis/1NXDq5UBby80GsRNjGXVwE",225200,4,"pop"
"147",0.703,0.757,1,-3.612,1,0.05,0.617,0,0.106,0.696,82.008,"audio_features","2eAZfqOm4EnOF9VvN50Tyc","spotify:track:2eAZfqOm4EnOF9VvN50Tyc","https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc","https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc",221747,4,"pop"
"148",0.606,0.887,9,-4.782,0,0.052,0.0498,3.47e-06,0.0958,0.349,97.972,"audio_features","2jB9QaPJyVdz2Q0Va8rrnU","spotify:track:2jB9QaPJyVdz2Q0Va8rrnU","https://api.spotify.com/v1/tracks/2jB9QaPJyVdz2Q0Va8rrnU","https://api.spotify.com/v1/audio-analysis/2jB9QaPJyVdz2Q0Va8rrnU",191787,4,"pop"
"149",0.55,0.415,9,-6.557,0,0.052,0.161,0,0.108,0.274,172.065,"audio_features","2JqnpexlO9dmvjUMCaLCLJ","spotify:track:2JqnpexlO9dmvjUMCaLCLJ","https://api.spotify.com/v1/tracks/2JqnpexlO9dmvjUMCaLCLJ","https://api.spotify.com/v1/audio-analysis/2JqnpexlO9dmvjUMCaLCLJ",205463,4,"pop"
"150",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,"audio_features","2iUXsYOEPhVqEBwsqP70rE","spotify:track:2iUXsYOEPhVqEBwsqP70rE","https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE","https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE",203418,4,"pop"
"151",0.777,0.657,1,-6.434,1,0.237,0.000738,3.34e-06,0.0932,0.245,189.992,"audio_features","739vCwA3EpBSkk3uDsI2wB","spotify:track:739vCwA3EpBSkk3uDsI2wB","https://api.spotify.com/v1/tracks/739vCwA3EpBSkk3uDsI2wB","https://api.spotify.com/v1/audio-analysis/739vCwA3EpBSkk3uDsI2wB",226107,4,"pop"
"152",0.796,0.5,1,-7.21,1,0.425,0.118,0,0.155,0.227,75.012,"audio_features","1nX9KhK3Fff27SnrIor2Yb","spotify:track:1nX9KhK3Fff27SnrIor2Yb","https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb","https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb",255560,4,"pop"
"153",0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,"audio_features","6kex4EBAj0WHXDKZMEJaaF","spotify:track:6kex4EBAj0WHXDKZMEJaaF","https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF","https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF",216409,4,"pop"
"154",0.733,0.676,10,-5.655,0,0.0432,0.0697,0,0.208,0.701,97.448,"audio_features","0fgZUSa7D7aVvv3GfO0A1n","spotify:track:0fgZUSa7D7aVvv3GfO0A1n","https://api.spotify.com/v1/tracks/0fgZUSa7D7aVvv3GfO0A1n","https://api.spotify.com/v1/audio-analysis/0fgZUSa7D7aVvv3GfO0A1n",226581,4,"pop"
"155",0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525,"audio_features","4F7A0DXBrmUAkp32uenhZt","spotify:track:4F7A0DXBrmUAkp32uenhZt","https://api.spotify.com/v1/tracks/4F7A0DXBrmUAkp32uenhZt","https://api.spotify.com/v1/audio-analysis/4F7A0DXBrmUAkp32uenhZt",249213,4,"pop"
"156",0.791,0.581,11,-7.323,0,0.286,0.0113,0,0.35,0.438,162.99,"audio_features","1e1JKLEDKP7hEQzJfNAgPl","spotify:track:1e1JKLEDKP7hEQzJfNAgPl","https://api.spotify.com/v1/tracks/1e1JKLEDKP7hEQzJfNAgPl","https://api.spotify.com/v1/audio-analysis/1e1JKLEDKP7hEQzJfNAgPl",181812,4,"pop"
"157",0.681,0.34,7,-8.617,1,0.0339,0.82,0,0.285,0.417,129.98,"audio_features","1Fo4OvzP9PThFKMeMIAEYu","spotify:track:1Fo4OvzP9PThFKMeMIAEYu","https://api.spotify.com/v1/tracks/1Fo4OvzP9PThFKMeMIAEYu","https://api.spotify.com/v1/audio-analysis/1Fo4OvzP9PThFKMeMIAEYu",179998,4,"pop"
"158",0.69,0.622,5,-5.025,0,0.063,0.253,0,0.113,0.543,102.039,"audio_features","0I20rLT2MJDhcF96AjbNYo","spotify:track:0I20rLT2MJDhcF96AjbNYo","https://api.spotify.com/v1/tracks/0I20rLT2MJDhcF96AjbNYo","https://api.spotify.com/v1/audio-analysis/0I20rLT2MJDhcF96AjbNYo",210400,4,"pop"
"159",0.67,0.853,8,-4.515,1,0.0884,0.0622,0,0.0602,0.615,103.843,"audio_features","1oc3jna2ablnfIKLYbKujl","spotify:track:1oc3jna2ablnfIKLYbKujl","https://api.spotify.com/v1/tracks/1oc3jna2ablnfIKLYbKujl","https://api.spotify.com/v1/audio-analysis/1oc3jna2ablnfIKLYbKujl",189000,4,"pop"
"160",0.663,0.708,8,-4.154,1,0.0473,0.0337,0,0.0841,0.742,103.073,"audio_features","5Gu0PDLN4YJeW75PpBSg9p","spotify:track:5Gu0PDLN4YJeW75PpBSg9p","https://api.spotify.com/v1/tracks/5Gu0PDLN4YJeW75PpBSg9p","https://api.spotify.com/v1/audio-analysis/5Gu0PDLN4YJeW75PpBSg9p",174800,4,"pop"
